TRADE,NIMY,IDT1RWAJR,DEPINS,LNATRES,BKCLASS,NOIJ,ELNATR,INTINC,NCLNLSR,P9LTOT,LNLSNET,IDT1CER,DEPFOR,ROA,P3LTOT,DEPDOM,ROE,LNLSGR,NETINC,EQ,LNLSDEPR,NTLNLSR,DEPUNINS,FREPO,CHBAL,OFFDOM,CERT,STALP,EINTEXP,COREDEP,DEPIDOM,REPDTE,RBC1AAJ,SC,PTAXNETINC,NUMEMP,ASSET,NONIX,DEP,NIM,CITY,RBCRWAJ,P9ASSET,NAMEFULL,P3ASSET,NONII,LIAB,EQTOT,ID,bank_name,ticker,failed,failure_date,report_date,year,quarter
6829,2.941360284156008,10.260210643753123,7846720,484923,NM,347403.39,212495,1466370,0.1971896581557708,0.0,46147340,10.260210643753123,,0.8319151507507052,0.0,54346906,9.78,46632263,355350,4983198,84.91254313539027,0.0517964729608361,47207152,0,6509063,36,57053,NY,319027,52591286,38007577,20200930,8.56384417153291,9381980,496209,1619,63760313,460300,54346906,1147343,NEW YORK,11.980658769059024,10642,SIGNATURE BANK,148907,21661,58777115,4983198,57053_20200930,Signature Bank,SBNY,True,2023-03-12,2020-09-30,2020,3
0,2.900414616928447,11.201745995819994,7841315,508299,NM,518717.84,248094,1966196,0.2556820091509704,0.0,48732162,9.873974002509458,,0.8756528126216804,0.0,63322534,10.48,49240461,528359,5826909,76.95864161089952,0.06346524011703326,55896521,0,12447947,37,57053,NY,412611,61698193,44511727,20201231,8.547889761891682,10957463,719988,1660,73888344,619735,63322534,1553585,NEW YORK,13.535154511287157,5727,SIGNATURE BANK,234978,34232,68061436,5826909,57053_20201231,Signature Bank,SBNY,True,2023-03-12,2020-12-31,2020,4
18493,2.7136121497486654,12.181701528791757,8231755,521761,NM,187134.42,30872,504949,0.27027757886363357,0.0,50769212,10.922319562799851,,0.9570282232612286,0.0,73982985,12.22,51290973,190533,6642405,68.62282185559287,0.14215653185649374,66045285,0,19820223,38,57053,NY,85042,72326616,51405764,20210331,8.820624786254212,13017540,237643,1712,85382194,167868,73982985,419907,NEW YORK,14.414006441886063,4932,SIGNATURE BANK,38766,16476,78739789,6642405,57053_20210331,Signature Bank,SBNY,True,2023-03-12,2021-03-31,2021,1
52603,2.3676927993892094,11.197106771522478,8318548,514794,NM,399710.88,39180,1028662,0.2514245557056441,0.0,54543074,10.069385977682508,,0.9475021032319153,0.0,85571496,12.58,55057868,405026,6844564,63.73976913994819,0.12802551167688897,77647165,0,25080000,38,57053,NY,164640,83753920,56812880,20210630,7.863968028450372,15726964,535479,1795,97209737,338443,85571496,864022,NEW YORK,12.77351416961472,2330,SIGNATURE BANK,94899,49080,90365173,6844564,57053_20210630,Signature Bank,SBNY,True,2023-03-12,2021-06-30,2021,2
48328,2.210631471880676,11.52588412384274,8790174,500862,NM,639610.76,43165,1584650,0.41469659069485854,0.0,58950314,10.49180677839158,,0.9462938027010789,0.0,95586660,12.77,59451176,646449,7679139,61.67211407951695,0.12528428773302855,87443436,0,28960213,38,57053,NY,239495,94179762,61131228,20210930,7.827581575115479,17902297,860566,1847,107850739,519717,95586660,1345155,NEW YORK,12.956552990044532,81158,SIGNATURE BANK,98082,78293,100171600,7679139,57053_20210930,Signature Bank,SBNY,True,2023-03-12,2021-09-30,2021,3
72363,2.1333780897031107,10.513674037976688,8874792,474389,NM,908965.74,50042,2191342,0.35783535221278573,0.0,64775173,9.597629950180151,,0.9512073518931302,0.0,106153818,13.18,65249562,918441,7840618,61.020106690839896,0.15015160724226947,97642322,0,29817539,37,57053,NY,309902,104737265,61719575,20211231,7.26922328278158,21918467,1235780,1880,118445427,703694,106153818,1881440,NEW YORK,11.756135627399388,15190,SIGNATURE BANK,97473,108076,110604809,7840618,57053_20211231,Signature Bank,SBNY,True,2023-03-12,2021-12-31,2021,4
68218,1.949195627608407,11.372092762288109,9343680,461275,NM,336881.7,2695,642511,0.28100914434596136,0.0,66645438,10.492043796793297,,1.1270719722859364,0.0,109175685,16.91,67106713,338534,8173161,61.04421327880837,0.10749169240370357,100669096,0,26616221,37,57053,NY,68609,108009643,62378523,20220331,7.736694566282607,26003206,409873,1956,121847302,193620,109175685,573902,NEW YORK,12.576886212127947,10814,SIGNATURE BANK,100624,32286,113674141,8173161,57053_20220331,Signature Bank,SBNY,True,2023-03-12,2022-03-31,2022,1
65328,2.1057833684416387,10.792832639321672,9427046,445965,NM,675402.34,6944,1417393,0.29796237603921394,0.0,72370611,9.984979542410773,,1.1414195648805827,0.0,104140238,16.91,72816576,677736,8031806,69.49341809647103,0.1095086405949489,95172009,0,14706705,38,57053,NY,194090,102715509,62647993,20220630,7.91729551943854,26086229,881408,2113,115966803,403547,104140238,1223303,NEW YORK,11.881086015439617,49077,SIGNATURE BANK,152426,68596,107934997,8031806,57053_20220630,Signature Bank,SBNY,True,2023-03-12,2022-06-30,2022,2
61846,2.2013996433212957,10.902993030624337,9603473,464858,NM,1032970.32,36009,2394055,0.29448685562871835,0.0,73900091,10.114331348759782,,1.173984673935395,0.0,102800494,17.41,74364949,1036203,7690524,71.8869026057404,0.09095739824810813,93560503,0,11581476,40,57053,NY,496497,100168949,65297544,20220930,8.470012798805849,25813033,1343484,2180,114468746,629048,102800494,1897558,NEW YORK,11.987415232620076,33696,SIGNATURE BANK,68781,110983,106778222,7690524,57053_20220930,Signature Bank,SBNY,True,2023-03-12,2022-09-30,2022,3
60439,2.240050640516238,11.202379499976919,9520017,489862,NM,1333249.1,78770,3551682,0.31869477705020993,0.0,74388993,10.4137124165399,,1.1504625478122283,0.0,88612911,16.82,74878855,1337049,8013101,83.94825557643625,0.09292875923113715,79458961,0,6063510,40,57053,NY,1015192,83728789,57009769,20221231,8.786697754905383,26152793,1750594,2263,110363650,862375,88612911,2536490,NEW YORK,12.315872429961782,54674,SIGNATURE BANK,96386,155249,102350549,8013101,57053_20221231,Signature Bank,SBNY,True,2023-03-12,2022-12-31,2022,4
